"Time","Value","WithError","Extra"
"2023/10/05 14:14:33 9586","-0.0879999995231628","False",""
"2023/10/05 14:14:34 0227","-0.0879999995231628","False",""
"2023/10/05 14:14:34 2993","-0.0830000042915344","False",""
"2023/10/05 14:14:34 5182","-0.0780000016093254","False",""
"2023/10/05 14:14:34 6841","-0.0729999989271164","False",""
"2023/10/05 14:14:34 8846","-0.068000003695488","False",""
"2023/10/05 14:14:35 0916","-0.063000001013279","False",""
"2023/10/05 14:14:35 2998","-0.0580000020563602","False",""
"2023/10/05 14:14:35 4677","-0.0530000030994415","False",""
"2023/10/05 14:14:35 6436","-0.0480000041425228","False",""
"2023/10/05 14:14:35 8938","-0.0430000014603138","False",""
"2023/10/05 14:14:36 1278","-0.0380000025033951","False",""
"2023/10/05 14:14:36 2878","-0.0330000035464764","False",""
"2023/10/05 14:14:36 4405","-0.0280000027269125","False",""
"2023/10/05 14:14:36 5930","-0.0230000037699938","False",""
"2023/10/05 14:14:36 7503","-0.0180000029504299","False",""
"2023/10/05 14:14:36 9090","-0.0130000030621886","False",""
"2023/10/05 14:14:37 0678","-0.00800000317394733","False",""
"2023/10/05 14:14:37 2388","-0.00300000375136733","False",""
"2023/10/05 14:14:37 3919","0.00199999613687396","False",""
"2023/10/05 14:14:37 5357","0.00699999602511525","False",""
"2023/10/05 14:14:37 6808","0.0119999963790178","False",""
"2023/10/05 14:14:37 8272","0.0169999953359365","False",""
"2023/10/05 14:14:37 9790","0.0219999961555004","False",""
"2023/10/05 14:14:38 1428","0.0269999951124191","False",""
"2023/10/05 14:14:38 2932","0.0319999940693378","False",""
"2023/10/05 14:14:38 4511","0.0369999967515469","False",""
"2023/10/05 14:14:38 6070","0.0419999957084656","False",""
"2023/10/05 14:14:38 7579","0.0469999946653843","False",""
"2023/10/05 14:14:38 9083","0.051999993622303","False",""
"2023/10/05 14:14:39 0757","0.056999996304512","False",""
"2023/10/05 14:14:39 2288","0.0619999952614307","False",""
"2023/10/05 14:14:39 3854","0.0669999942183495","False",""
"2023/10/05 14:14:39 5328","0.0719999969005585","False",""
"2023/10/05 14:14:39 6995","0.0769999921321869","False",""
"2023/10/05 14:14:39 8606","0.0819999948143959","False",""
"2023/10/05 14:14:40 0275","0.0869999974966049","False",""
"2023/10/05 14:14:40 1815","0.0919999927282333","False",""
"2023/10/05 14:14:40 3508","0.0969999954104424","False",""
"2023/10/05 14:14:40 4951","0.101999990642071","False",""
"2023/10/05 14:14:40 6599","0.10699999332428","False",""
"2023/10/05 14:14:40 8226","0.111999996006489","False",""
"2023/10/05 14:14:41 0919","0.0519999973475933","False",""
"2023/10/05 14:14:41 2242","0.0509999953210354","False",""
"2023/10/05 14:14:41 3518","0.0499999970197678","False",""
"2023/10/05 14:14:41 4774","0.0489999987185001","False",""
"2023/10/05 14:14:41 6173","0.0479999966919422","False",""
"2023/10/05 14:14:41 7528","0.0469999983906746","False",""
"2023/10/05 14:14:41 8873","0.0459999963641167","False",""
"2023/10/05 14:14:42 0093","0.044999998062849","False",""
"2023/10/05 14:14:42 1513","0.0439999960362911","False",""
"2023/10/05 14:14:42 2976","0.0429999977350235","False",""
"2023/10/05 14:14:42 4251","0.0419999957084656","False",""
"2023/10/05 14:14:42 5511","0.040999997407198","False",""
"2023/10/05 14:14:42 6836","0.03999999538064","False",""
"2023/10/05 14:14:42 8156","0.0389999970793724","False",""
"2023/10/05 14:14:42 9440","0.0379999987781048","False",""
"2023/10/05 14:14:43 0738","0.0369999967515469","False",""
"2023/10/05 14:14:43 2173","0.0359999984502792","False",""
"2023/10/05 14:14:43 3589","0.0349999964237213","False",""
"2023/10/05 14:14:43 4878","0.0339999981224537","False",""
"2023/10/05 14:14:43 6081","0.0329999960958958","False",""
"2023/10/05 14:14:43 7314","0.0319999977946281","False",""
"2023/10/05 14:14:43 8549","0.0309999976307154","False",""
"2023/10/05 14:14:43 9776","0.0299999974668026","False",""
"2023/10/05 14:14:44 1015","0.0289999973028898","False",""
"2023/10/05 14:14:44 2419","0.0279999971389771","False",""
"2023/10/05 14:14:44 3698","0.0269999969750643","False",""
"2023/10/05 14:14:44 5074","0.0259999968111515","False",""
"2023/10/05 14:14:44 6422","0.0249999966472387","False",""
"2023/10/05 14:14:44 7851","0.023999996483326","False",""
"2023/10/05 14:14:44 9278","0.0229999963194132","False",""
"2023/10/05 14:14:45 0524","0.0219999961555004","False",""
