"Time","Value","WithError","Extra"
"2023/10/05 14:14:47 1195","-0.125","False",""
"2023/10/05 14:14:47 1845","-0.125","False",""
"2023/10/05 14:14:47 4454","-0.120000004768372","False",""
"2023/10/05 14:14:47 6024","-0.115000002086163","False",""
"2023/10/05 14:14:47 7593","-0.109999999403954","False",""
"2023/10/05 14:14:47 9211","-0.105000004172325","False",""
"2023/10/05 14:14:48 0887","-0.100000001490116","False",""
"2023/10/05 14:14:48 2562","-0.0950000062584877","False",""
"2023/10/05 14:14:48 4269","-0.0900000035762787","False",""
"2023/10/05 14:14:48 5896","-0.0850000008940697","False",""
"2023/10/05 14:14:48 7578","-0.0800000056624413","False",""
"2023/10/05 14:14:48 9189","-0.0750000029802322","False",""
"2023/10/05 14:14:49 0790","-0.0700000002980232","False",""
"2023/10/05 14:14:49 2437","-0.0650000050663948","False",""
"2023/10/05 14:14:49 3989","-0.0600000023841858","False",""
"2023/10/05 14:14:49 5536","-0.0550000034272671","False",""
"2023/10/05 14:14:49 7075","-0.0500000044703484","False",""
"2023/10/05 14:14:49 8619","-0.0450000055134296","False",""
"2023/10/05 14:14:50 0217","-0.0400000028312206","False",""
"2023/10/05 14:14:50 1749","-0.0350000038743019","False",""
"2023/10/05 14:14:50 3412","-0.0300000049173832","False",""
"2023/10/05 14:14:50 4945","-0.0250000040978193","False",""
"2023/10/05 14:14:50 6421","-0.0200000051409006","False",""
"2023/10/05 14:14:50 7894","-0.0150000043213367","False",""
"2023/10/05 14:14:50 9553","-0.0100000044330955","False",""
"2023/10/05 14:14:51 1219","-0.00500000501051545","False",""
"2023/10/05 14:14:51 2830","-5.02914199174143E-09","False",""
"2023/10/05 14:14:51 4417","0.00499999476596713","False",""
"2023/10/05 14:14:51 5966","0.00999999511986971","False",""
"2023/10/05 14:14:51 7588","0.014999995008111","False",""
"2023/10/05 14:14:51 9261","0.0199999939650297","False",""
"2023/10/05 14:14:52 0911","0.0249999947845936","False",""
"2023/10/05 14:14:52 2630","0.0299999937415123","False",""
"2023/10/05 14:14:52 4290","0.034999992698431","False",""
"2023/10/05 14:14:52 5956","0.03999999538064","False",""
"2023/10/05 14:14:52 7457","0.0449999943375587","False",""
"2023/10/05 14:14:52 8930","0.0499999932944775","False",""
"2023/10/05 14:14:53 0515","0.0549999922513962","False",""
"2023/10/05 14:14:53 2083","0.0599999949336052","False",""
"2023/10/05 14:14:53 3660","0.0649999901652336","False",""
"2023/10/05 14:14:53 5290","0.0699999928474426","False",""
"2023/10/05 14:14:53 6839","0.0749999955296516","False",""
"2023/10/05 14:14:53 8787","0.0549999959766865","False",""
