"Time","Value","WithError","Extra"
"2023/10/05 14:14:32 4221","0.105631351470947","False",""
"2023/10/05 14:14:32 7523","0.104787148535252","False",""
"2023/10/05 14:14:33 0842","0.107410199940205","False",""
"2023/10/05 14:14:33 4101","0.108676500618458","False",""
"2023/10/05 14:14:33 7407","0.105118803679943","False",""
"2023/10/05 14:14:34 0861","0.0834710970520973","False",""
"2023/10/05 14:14:34 3918","0.00848805345594883","False",""
"2023/10/05 14:14:34 5604","0.0192817505449057","False",""
"2023/10/05 14:14:34 7561","0.0417434982955456","False",""
"2023/10/05 14:14:34 9633","0.0475323051214218","False",""
"2023/10/05 14:14:35 1770","0.0482558943331242","False",""
"2023/10/05 14:14:35 3490","0.0526879467070103","False",""
"2023/10/05 14:14:35 5168","0.0517231412231922","False",""
"2023/10/05 14:14:35 7666","0.0462660007178783","False",""
"2023/10/05 14:14:36 0002","0.0497332513332367","False",""
"2023/10/05 14:14:36 1583","0.0504266954958439","False",""
"2023/10/05 14:14:36 3142","0.0613711513578892","False",""
"2023/10/05 14:14:36 4686","0.0769285559654236","False",""
"2023/10/05 14:14:36 6211","0.0958024486899376","False",""
"2023/10/05 14:14:36 7809","0.105420306324959","False",""
"2023/10/05 14:14:36 9390","0.108163945376873","False",""
"2023/10/05 14:14:37 0956","0.107319749891758","False",""
"2023/10/05 14:14:37 2688","0.107741847634315","False",""
"2023/10/05 14:14:37 4161","0.111812099814415","False",""
"2023/10/05 14:14:37 5586","0.105299696326256","False",""
"2023/10/05 14:14:37 7062","0.103762052953243","False",""
"2023/10/05 14:14:37 8525","0.0980335548520088","False",""
"2023/10/05 14:14:38 0190","0.0915513038635254","False",""
"2023/10/05 14:14:38 1697","0.0927573069930077","False",""
"2023/10/05 14:14:38 3183","0.0886267498135567","False",""
"2023/10/05 14:14:38 4811","0.0839233472943306","False",""
"2023/10/05 14:14:38 6320","0.0819334462285042","False",""
"2023/10/05 14:14:38 7839","0.0590496063232422","False",""
"2023/10/05 14:14:38 9479","0.0496126413345337","False",""
"2023/10/05 14:14:39 1022","0.00538260722532868","False",""
"2023/10/05 14:14:39 2573","-0.000104696322523523","False",""
"2023/10/05 14:14:39 4096","0.0178345534950495","False",""
"2023/10/05 14:14:39 5749","0.0311608575284481","False",""
"2023/10/05 14:14:39 7312","0.0244675539433956","False",""
"2023/10/05 14:14:39 9016","0.0176235008984804","False",""
"2023/10/05 14:14:40 0581","0.00891014281660318","False",""
"2023/10/05 14:14:40 2235","0.0132216075435281","False",""
"2023/10/05 14:14:40 3730","0.00622680364176631","False",""
"2023/10/05 14:14:40 5320","0.00263894628733397","False",""
"2023/10/05 14:14:40 6959","0.000618892663624138","False",""
"2023/10/05 14:14:40 8532","-0.000225303680053912","False",""
"2023/10/05 14:14:41 1269","0.0555521957576275","False",""
"2023/10/05 14:14:41 2513","0.0334221087396145","False",""
"2023/10/05 14:14:41 3788","0.0301056075841188","False",""
"2023/10/05 14:14:41 5176","0.0357738025486469","False",""
"2023/10/05 14:14:41 6425","0.0478338040411472","False",""
"2023/10/05 14:14:41 7789","0.0512708909809589","False",""
"2023/10/05 14:14:41 9100","0.052808552980423","False",""
"2023/10/05 14:14:42 0416","0.0559743046760559","False",""
"2023/10/05 14:14:42 1873","0.0645368993282318","False",""
"2023/10/05 14:14:42 3238","0.0649288445711136","False",""
"2023/10/05 14:14:42 4514","0.0668584480881691","False",""
"2023/10/05 14:14:42 5841","0.068697601556778","False",""
"2023/10/05 14:14:42 7147","0.0798832476139069","False",""
"2023/10/05 14:14:42 8455","0.0783757492899895","False",""
"2023/10/05 14:14:42 9728","0.0785566493868828","False",""
"2023/10/05 14:14:43 1144","0.0800943002104759","False",""
"2023/10/05 14:14:43 2578","0.0844057500362396","False",""
"2023/10/05 14:14:43 3907","0.0846771001815796","False",""
"2023/10/05 14:14:43 5112","0.0813304483890533","False",""
"2023/10/05 14:14:43 6334","0.0869081988930702","False",""
