"Indice","MaxValor","ValorFinalMedido","CantidadDespla","PosFinaX1","PosFinaX2","BuscadorV","BuscadorNombre","FuncionV","FuncionNombre"
"1","0.0197749215639037","-0.0119244150296871","246","0","0","1","Integral","1","Ackley"
"1","-0.0110699085370723","0.0161378570421513","0","0.600614428520203","0.339999973773956","2","Diferencial","1","Ackley"
"1","1.00729864873652","0.0962706620984595","246","0.600614428520203","0.339999973773956","3","Bayesian","1","Ackley"
"1","1.01441797787568","0.0627373335271284","253","0.600614428520203","0.339999973773956","4","GlobalizedBoundedNelderMead","1","Ackley"
"1","0.448049373702801","0.000437391577200287","248","0.600614428520203","0.339999973773956","5","ParticleSwarm","1","Ackley"
"1","0.958594484253496","0.898271860904713","245","0.600614428520203","0.339999973773956","6","RandomSearch","1","Ackley"
"1","0.819570086183906","0.911873716194128","246","0.600614428520203","0.339999973773956","7","BigBung_BigCrunch","1","Ackley"
"1","1.00548682605722","0.460747478497856","248","0.600614428520203","0.339999973773956","8","Fireworks","1","Ackley"
"2","0.945960202212123","0.803333782790986","227","0.600614428520203","0.339999973773956","1","Integral","1","Ackley"
"2","0.77983485424408","0.779622323154297","0","3.5","0.319429665803909","2","Diferencial","1","Ackley"
"2","0.99747214593357","0.538269057229268","227","3.5","0.319429665803909","3","Bayesian","1","Ackley"
"2","1.00578021844965","0.970296838443753","312","3.5","0.319429665803909","4","GlobalizedBoundedNelderMead","1","Ackley"
"2","1.01037024528219","0.475577131163407","228","3.5","0.319429665803909","5","ParticleSwarm","1","Ackley"
"2","0.974624307390833","0.321686522465848","226","3.5","0.319429665803909","6","RandomSearch","1","Ackley"
"2","0.972393096445152","0.761951080096952","228","3.5","0.319429665803909","7","BigBung_BigCrunch","1","Ackley"
"2","0.923100810187543","0.819607526174891","228","3.5","0.319429665803909","8","Fireworks","1","Ackley"
"3","0.157121271552356","0.247686975575148","227","3.5","0.319429665803909","1","Integral","1","Ackley"
"3","0.242236326313673","0.277607384300886","0","2.18410730361938","0.896942377090454","2","Diferencial","1","Ackley"
"3","0.433349298319671","0.132796220611204","227","2.18410730361938","0.896942377090454","3","Bayesian","1","Ackley"
"3","0.590105314725248","0.325979497621328","245","2.18410730361938","0.896942377090454","4","GlobalizedBoundedNelderMead","1","Ackley"
"3","0.995867629503681","0.951717291724082","229","2.18410730361938","0.896942377090454","5","ParticleSwarm","1","Ackley"
"3","0.281294187757287","0.0484009425158097","227","2.18410730361938","0.896942377090454","6","RandomSearch","1","Ackley"
