Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.009889656 ; 0.007879695 ; -9.181874E-05 ; -9.2431E-05 ; 1.582964E-05 ; 486 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0 ; 0.165 ; 0.12 ; -0.2 ; 1.9E-05
0.4300979 ; 0.4290254 ; -7.131707E-05 ; -9.651395E-05 ; 2.790064E-06 ; 485 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 2 ; -0.137097 ; 0.1432063 ; 0.04544549 ; 1.9E-05
0.7200273 ; 0.7187689 ; -8.995018E-05 ; -9.373323E-05 ; 2.029428E-06 ; 1458 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 5 ; -0.7382594 ; 0.5592027 ; 0.02286972 ; 1.9E-05
0.02232336 ; 0.01467128 ; -4.542719E-05 ; -9.638596E-05 ; 1.59743E-05 ; 481 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0 ; 0.12 ; -0.295 ; -0.215 ; 1.9E-05
0.001982104 ; -0.001279961 ; -4.775341E-05 ; -7.110126E-05 ; 3.918549E-06 ; 479 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 2 ; -0.1376088 ; 0.08169707 ; 0.07998019 ; 1.9E-05
0.3227494 ; 0.3211436 ; -4.611127E-05 ; -8.701138E-05 ; 2.872938E-06 ; 1443 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 5 ; -0.733888 ; 0.9116184 ; -0.01425053 ; 1.9E-05
0.01084726 ; 0.01007586 ; -4.059305E-07 ; -9.448774E-05 ; 2.005917E-06 ; 427 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0 ; 0.435 ; 0.42 ; 0.009999969 ; 1.9E-05
0.002038825 ; 5.541301E-05 ; 3.812725E-05 ; -7.710862E-05 ; 2.124503E-06 ; 426 ; RandomSearch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 2 ; 0.06448483 ; -0.06315757 ; 0.015618 ; 1.9E-05
0.1165391 ; 0.1159496 ; 7.222181E-06 ; -0.0001001754 ; 1.22948E-05 ; 1281 ; BigBung_BigCrunch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 5 ; -0.8656502 ; 0.4827085 ; 0.1888901 ; 1.9E-05
