Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.418547 ; 0.4211106 ; -0.0001225421 ; -5.705884E-05 ; 2.380625E-06 ; 1070 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; 0.105 ; 0.305 ; 0.2549999 ; 0.09
0.8822012 ; 0.8324724 ; -0.0001224443 ; -0.000139343 ; 2.655516E-06 ; 1070 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; 0.08008724 ; 0.3250473 ; -0.4379726 ; 0.09
0.9233946 ; 0.931859 ; -6.123756E-05 ; -0.0001042104 ; 3.242634E-06 ; 1131 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; 0.009999963 ; 0.25 ; -1 ; 0.09
0.8882762 ; -0.0004346724 ; 5.032955E-05 ; -1.065528E-05 ; 2.199748E-06 ; 1131 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; 0.06654398 ; 0.2087653 ; -0.4992244 ; 0.09
0.02449214 ; 0.02285239 ; -7.671191E-08 ; -8.02662E-05 ; 2.781005E-06 ; 1343 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; -0.07000005 ; -0.13 ; -0.7550001 ; 0.09
0.9439138 ; 0.6644488 ; 3.302602E-05 ; -0.0001223607 ; 2.593554E-06 ; 1343 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; 0.01491675 ; 0.4249786 ; -0.2706479 ; 0.09
0.008348443 ; 0.8502527 ; 6.13236E-05 ; -0.0001222594 ; 3.064653E-06 ; 1254 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; 0.05499997 ; 0.1799999 ; -0.82 ; 0.09
0.8855272 ; 0.5206774 ; 0.0001225708 ; -0.000122301 ; 2.791671E-06 ; 1254 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; -0.1254247 ; 0.2606211 ; -0.4709962 ; 0.09
0.7600195 ; 0.7624814 ; 0.0001104874 ; -0.0001343398 ; 2.70349E-06 ; 1104 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; 0.09999996 ; 0.3749999 ; -0.525 ; 0.09
0.967426 ; 0.726445 ; 0.0001223814 ; -5.873013E-05 ; 2.830993E-06 ; 1104 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.25 ; 1 ; -0.1547689 ; 0.02749283 ; -0.463916 ; 0.09
0.2926512 ; 0.2924803 ; 0.0001247595 ; -5.766976E-05 ; 3.010865E-06 ; 1232 ; Integral ; 0 ; 0 ; 0.25 ; -0.125 ; 0 ; -0.7950001 ; 0.3399999 ; -0.715 ; 0.09
0.9566219 ; 0.6045513 ; 0.0001691585 ; -6.11831E-05 ; 2.497027E-06 ; 1232 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.125 ; 1 ; -0.0965607 ; 0.1699605 ; -0.2402141 ; 0.09
0.9066898 ; 0.1147454 ; 6.12759E-05 ; -6.126312E-05 ; 2.8635E-06 ; 1157 ; Integral ; 0 ; 0 ; 0.125 ; -0.125 ; 0 ; 0.01499996 ; -0.005000045 ; -1 ; 0.09
0.9563106 ; 0.03592826 ; 6.11935E-05 ; -6.123495E-05 ; 2.376415E-06 ; 1157 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.125 ; 1 ; -0.1161418 ; 0.03285418 ; -0.3366301 ; 0.09
0.05082916 ; 0.05001797 ; 5.14495E-07 ; -0.0001104865 ; 3.050679E-06 ; 1307 ; Integral ; 0 ; 0 ; 0 ; -0.125 ; 0 ; 0.4049999 ; -0.825 ; -0.675 ; 0.09
0.9863084 ; 0.1507968 ; 0.0001258553 ; 6.437675E-05 ; 2.697216E-06 ; 1307 ; Bayesiano ; 0 ; 0 ; 0 ; -0.125 ; 1 ; 0.1658822 ; 0.178951 ; -0.2810375 ; 0.09
0.7483261 ; 0.6707497 ; -1.092683E-05 ; -8.771244E-06 ; 2.00061E-06 ; 1071 ; Integral ; 0 ; 0 ; -0.125 ; -0.125 ; 0 ; -0.34 ; 0.27 ; -0.155 ; 0.09
0.9935763 ; 0.4441094 ; -6.145669E-05 ; -6.144193E-05 ; 2.403962E-06 ; 1071 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.125 ; 1 ; -0.4397218 ; -0.4060088 ; -0.2886536 ; 0.09
0.004133042 ; 0.003316713 ; -0.0001240922 ; -1.893267E-05 ; 3.261617E-06 ; 1219 ; Integral ; 0 ; 0 ; -0.25 ; -0.125 ; 0 ; -0.99 ; -0.205 ; -0.98 ; 0.09
0.9820121 ; 0.02617141 ; -9.472515E-05 ; -3.36287E-05 ; 2.846258E-06 ; 1219 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.125 ; 1 ; 0.4386044 ; 0.05808642 ; -0.3471518 ; 0.09
0.1354757 ; 0.1327875 ; -8.379488E-05 ; 3.919311E-05 ; 3.127869E-06 ; 1222 ; Integral ; 0 ; 0 ; -0.25 ; 0 ; 0 ; -0.21 ; -0.05000004 ; -1 ; 0.09
0.8968626 ; 0.03271063 ; -0.0001225769 ; -2.743459E-08 ; 2.80847E-06 ; 1222 ; Bayesiano ; 0 ; 0 ; -0.25 ; 0 ; 1 ; -0.1124713 ; -0.0358983 ; -0.429625 ; 0.09
0.08586951 ; 0.08549894 ; -6.060014E-05 ; 1.545075E-06 ; 2.424378E-06 ; 1201 ; Integral ; 0 ; 0 ; -0.125 ; 0 ; 0 ; -0.61 ; 0.53 ; -0.48 ; 0.09
0.9945931 ; 0.00959747 ; -4.549027E-05 ; 1.572704E-05 ; 2.042131E-06 ; 1201 ; Bayesiano ; 0 ; 0 ; -0.125 ; 0 ; 1 ; 0.09370922 ; 0.2597222 ; 0.09070697 ; 0.09
0.9830208 ; 0.9850023 ; -7.298131E-06 ; -7.243085E-06 ; 2.004474E-06 ; 1013 ; Integral ; 0 ; 0 ; 0 ; 0 ; 0 ; -0.13 ; 0.08999996 ; -0.315 ; 0.09
0.9985232 ; 0.998771 ; 1.295997E-09 ; 3.788298E-09 ; 1.999962E-06 ; 1013 ; Bayesiano ; 0 ; 0 ; 0 ; 0 ; 1 ; 0.1017295 ; 0.2936282 ; -0.008434327 ; 0.09
0.2247266 ; 0.2238721 ; 0.0001107194 ; 4.996885E-05 ; 2.265081E-06 ; 1183 ; Integral ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0.42 ; -0.37 ; 0.465 ; 0.09
0.8778649 ; -0.001537057 ; 6.306086E-05 ; 4.992479E-08 ; 2.406932E-06 ; 1183 ; Bayesiano ; 0 ; 0 ; 0.125 ; 0 ; 1 ; -0.2195255 ; 0.08971924 ; -0.353974 ; 0.09
0.1831999 ; 0.1832395 ; 2.85815E-05 ; -9.357295E-05 ; 3.129338E-06 ; 1067 ; Integral ; 0 ; 0 ; 0.25 ; 0 ; 0 ; -0.895 ; -0.28 ; -0.7 ; 0.09
0.9716195 ; 0.1958974 ; 0.0002058736 ; 8.348718E-05 ; 2.342111E-06 ; 1067 ; Bayesiano ; 0 ; 0 ; 0.25 ; 0 ; 1 ; -0.2553947 ; -0.04222227 ; -0.4878471 ; 0.09
0.8572748 ; 0.8591547 ; 0.0001714517 ; 0.0001103049 ; 2.520675E-06 ; 1384 ; Integral ; 0 ; 0 ; 0.25 ; 0.125 ; 0 ; -0.42 ; -0.27 ; -0.595 ; 0.09
0.9959272 ; 0.5392528 ; 0.000122402 ; 6.283466E-05 ; 2.856349E-06 ; 1384 ; Bayesiano ; 0 ; 0 ; 0.25 ; 0.125 ; 1 ; -0.1225867 ; -0.06695024 ; -0.4824178 ; 0.09
0.8228998 ; 0.8239945 ; 6.110101E-05 ; 0.0001344784 ; 2.957747E-06 ; 1303 ; Integral ; 0 ; 0 ; 0.125 ; 0.125 ; 0 ; -0.1350001 ; -0.13 ; -0.8100001 ; 0.09
