Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Contine la distancia recorrida por el algoritmo. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.001955529 ; -0.00131814 ; -6.665233E-05 ; -6.647753E-05 ; 2.237389E-06 ; 1108 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00406773226182831 ; 0 ; 0.26 ; 0.02999996 ; 0.195 ; 0.08
0.7491381 ; 0.001792669 ; -0.0001164979 ; -9.940243E-05 ; 3.544249E-06 ; 1108 ; Bayesiano ; 0 ; 0 ; -0.2 ; -0.2 ; 0.10118182410137 ; 1 ; -0.06587686 ; 0.2965851 ; -0.2637247 ; 0.08
0.4182672 ; 0.001039407 ; -0.0001054301 ; -9.952288E-05 ; 3.405418E-06 ; 179 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00450537435464097 ; 4 ; -0.3092611 ; 0.06292061 ; -0.08072568 ; 0.08
0.9461919 ; 0.001698001 ; -5.695014E-05 ; -5.627597E-05 ; 3.86674E-06 ; 1110 ; ParticleSwarm ; 0 ; 0 ; -0.2 ; -0.2 ; 0.132087962158724 ; 3 ; -0.5 ; 0.5 ; -0.5 ; 0.08
0.3650673 ; 0.1849334 ; -3.536127E-05 ; -3.525152E-05 ; 3.394022E-06 ; 1108 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.19259817282201 ; 2 ; -0.3889679 ; 0.3060023 ; -0.1521334 ; 0.08
0.625221 ; 4.732251E-05 ; -9.747739E-05 ; -9.77577E-05 ; 3.885585E-06 ; 1107 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.13018721351424 ; 5 ; 0.1027947 ; -0.1057036 ; -0.8112885 ; 0.08
0.8511602 ; 0.001311638 ; -7.799369E-05 ; -9.645035E-05 ; 3.151702E-06 ; 1110 ; Fireworks ; 0 ; 0 ; -0.2 ; -0.2 ; 0.125710959704125 ; 6 ; -0.5275598 ; 0.7940729 ; -0.9420605 ; 0.08
0.001983619 ; -0.001653528 ; -9.944305E-06 ; -9.505064E-05 ; 2.170316E-06 ; 1027 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00414195564164286 ; 0 ; -0.32 ; 0.19 ; -0.04000003 ; 0.08
0.632255 ; 0.5488437 ; -7.072521E-05 ; -9.759857E-05 ; 2.479339E-06 ; 1027 ; Bayesiano ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0949561792923802 ; 1 ; 0.2249495 ; 0.04292818 ; -0.2656726 ; 0.08
0.3508623 ; 0.001506866 ; -4.975449E-05 ; -5.196011E-05 ; 3.498707E-06 ; 216 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.01120017660469 ; 4 ; -0.3614913 ; 0.2528934 ; -0.07294799 ; 0.08
0.9471151 ; 0.001593798 ; 4.164228E-05 ; -9.912271E-05 ; 2.529724E-06 ; 1030 ; ParticleSwarm ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.116666155517112 ; 3 ; -0.2209524 ; 0.5 ; -0.5 ; 0.08
0.4586332 ; -0.001752946 ; -1.105294E-05 ; -0.0001646393 ; 3.171895E-06 ; 1027 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.170754848358739 ; 2 ; -0.2479022 ; -0.4670849 ; -0.03879787 ; 0.08
0.7637928 ; 0.001929534 ; -4.929818E-05 ; -9.967655E-05 ; 2.488026E-06 ; 1026 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.100897532030094 ; 5 ; 0.80427 ; -0.2506042 ; -0.356976 ; 0.08
0.9319896 ; 0.9352633 ; -1.060487E-05 ; -9.731781E-05 ; 2.511716E-06 ; 1026 ; Fireworks ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.113038976775624 ; 6 ; -0.608762 ; 0.3116265 ; -0.5927469 ; 0.08
0.003284319 ; -3.522308E-05 ; -2.112104E-05 ; -0.0001206244 ; 2.271472E-06 ; 1205 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.00438247649022709 ; 0 ; 0.4699999 ; 0.06999996 ; 0.08499996 ; 0.08
0.7803288 ; -0.0005055737 ; 3.182289E-05 ; -2.472757E-05 ; 2.808805E-06 ; 1205 ; Bayesiano ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.114056625306132 ; 1 ; -0.09650235 ; 0.1133655 ; -0.4367032 ; 0.08
0.8608807 ; -0.0001850242 ; 1.568919E-05 ; -8.190874E-05 ; 2.386939E-06 ; 185 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.00447853076692602 ; 4 ; 0.4085419 ; 0.3793755 ; 0.4354663 ; 0.08
0.7119241 ; 0.2147946 ; 3.08319E-07 ; -9.942053E-05 ; 2.307047E-06 ; 1200 ; ParticleSwarm ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.109378370087194 ; 3 ; 0.5 ; 0.1799737 ; -0.4617999 ; 0.08
0.4735206 ; 0.002558907 ; -4.470613E-05 ; -3.673446E-05 ; 3.586366E-06 ; 1203 ; RandomSearch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.170348908962792 ; 2 ; -0.382516 ; 0.4906898 ; -0.3286756 ; 0.08
